CustomerID,recency,frequency,monetary
12346.0,325,1,77183
12747.0,2,103,4196
12748.0,0,4596,33719
12749.0,3,199,4090
12820.0,3,59,942
12821.0,214,6,92
12822.0,70,46,948
12823.0,74,5,1759
12824.0,59,25,397
12826.0,2,91,1474
12827.0,5,25,430
12828.0,2,56,1018
12829.0,336,11,293
12830.0,37,38,6814
12831.0,262,9,215
12832.0,32,27,383
12833.0,145,24,417
12834.0,282,18,312
12836.0,59,175,2612
12837.0,173,12,134
12838.0,33,123,683
12839.0,2,314,5591
12840.0,143,113,2726
12841.0,4,420,4022
12842.0,70,34,1118
12843.0,65,103,1702
12844.0,29,52,325
12845.0,267,27,354
12847.0,22,91,871
12849.0,31,51,1050
12851.0,96,50,135
12852.0,294,17,311
12853.0,134,78,1957
12854.0,78,110,1324
12855.0,372,3,38
12856.0,7,314,2179
12857.0,210,46,1106
12863.0,52,5,521
12864.0,138,3,147
12867.0,26,538,4036
12868.0,185,107,1607
12871.0,84,11,380
12872.0,326,66,599
12873.0,282,4,374
12875.0,143,2,343
12877.0,3,154,1535
12878.0,236,47,854
12879.0,44,10,573
12881.0,275,7,298
12882.0,9,13,1463
12883.0,24,42,703
12884.0,88,7,309
12885.0,63,71,1175
12886.0,67,82,1378
12888.0,214,5,354
12890.0,24,82,380
12891.0,185,3,331
12893.0,30,34,188
12895.0,42,22,372
12897.0,204,4,216
12901.0,8,116,17654
12902.0,264,10,138
12904.0,18,72,509
12906.0,11,63,2919
12908.0,176,2,750
12909.0,39,91,2178
12910.0,23,75,3075
12912.0,2,24,1662
12913.0,4,50,2483
12915.0,148,22,363
12916.0,138,107,3006
12917.0,128,2,594
12919.0,8,50,1335
12920.0,17,28,164
12921.0,9,720,16587
12922.0,161,28,405
12923.0,64,29,176
12924.0,88,30,933
12925.0,4,45,694
12928.0,35,84,2062
12929.0,311,8,117
12930.0,78,25,415
12931.0,21,82,42055
12933.0,24,106,607
12935.0,2,129,2160
12936.0,17,62,1063
12937.0,15,120,1504
12938.0,25,9,114
12939.0,64,47,11581
12940.0,54,99,913
12942.0,131,75,683
12944.0,35,30,604
12945.0,288,23,462
12947.0,143,97,1603
12948.0,16,116,2064
12949.0,30,215,4167
12950.0,2,23,1843
12951.0,8,63,1064
12952.0,5,79,1387
12953.0,9,17,329
12955.0,1,180,4757
12956.0,306,19,108
12957.0,9,238,4017
12962.0,7,16,266
12963.0,8,95,1856
12965.0,89,109,771
12966.0,9,10,160
12967.0,358,19,1660
12968.0,112,5,135
12970.0,7,151,452
12971.0,3,305,11189
12974.0,197,8,144
12976.0,211,22,738
12977.0,156,9,39
12980.0,157,20,7374
12981.0,29,20,372
12982.0,242,28,390
12984.0,18,4,97
12985.0,0,76,1239
12987.0,73,28,558
12988.0,292,92,535
12989.0,3,64,6924
12990.0,31,13,409
12991.0,23,31,503
12993.0,23,27,414
12994.0,4,61,974
12995.0,85,3,211
12997.0,22,59,1226
12999.0,196,28,455
13000.0,106,31,534
13001.0,4,339,9818
13002.0,318,7,120
13003.0,105,6,149
13004.0,11,404,5655
13005.0,173,26,513
13006.0,56,4,81
13008.0,323,14,229
13011.0,372,3,50
13012.0,9,89,1661
13013.0,1,219,4810
13014.0,10,110,3466
13015.0,53,176,3346
13016.0,73,47,789
13017.0,7,1,204
13018.0,16,458,7277
13021.0,4,131,2616
13023.0,64,40,689
13026.0,1,40,975
13027.0,113,26,6912
13028.0,22,45,661
13029.0,30,10,1247
13030.0,11,99,799
13032.0,52,71,1010
13033.0,357,11,190
13034.0,54,37,642
13035.0,73,27,921
13037.0,138,48,881
13038.0,80,28,908
13040.0,8,43,676
13043.0,273,13,516
13044.0,291,33,560
13045.0,99,18,305
13046.0,30,35,629
13047.0,31,172,3237
13048.0,14,136,1835
13049.0,64,14,656
13050.0,14,403,5836
13052.0,212,18,348
13055.0,78,76,1214
13058.0,24,8,271
13059.0,249,8,183
13060.0,253,15,307
13061.0,72,10,248
13062.0,191,11,346
13064.0,12,69,1119
13065.0,373,14,205
13066.0,24,48,470
13067.0,82,15,115
13068.0,10,2,344
13069.0,0,425,4436
13070.0,192,9,228
13072.0,266,7,177
13075.0,129,22,919
13077.0,1,112,729
13078.0,3,358,12627
13079.0,4,6,220
13080.0,179,6,58
13081.0,11,1028,28337
13082.0,126,73,3613
13083.0,4,18,303
13085.0,157,22,416
13089.0,2,1818,58825
13090.0,8,155,8910
13091.0,28,21,345
13092.0,70,25,477
13093.0,275,159,7832
13094.0,21,24,1927
13095.0,70,6,74
13097.0,32,423,6010
13098.0,1,572,28882
13099.0,99,1,207
13101.0,234,8,101
13102.0,1,304,6424
13103.0,39,8,243
13104.0,3,20,1098
13106.0,133,1,76
13107.0,44,58,1531
13108.0,372,10,350
13109.0,59,47,786
13110.0,31,145,1488
13113.0,0,201,12245
13115.0,11,120,2294
13116.0,138,30,501
13117.0,21,76,984
13118.0,19,79,1197
13120.0,238,1,30
13121.0,269,50,283
13122.0,94,55,922
13124.0,89,235,3866
13126.0,4,140,2099
13127.0,77,15,259
13130.0,94,2,64
13131.0,23,44,1073
13132.0,261,3,77
13133.0,273,7,109
13134.0,85,98,1793
13135.0,196,1,3096
13136.0,56,127,2607
13137.0,10,704,3650
13138.0,22,63,962
13139.0,16,170,5064
13140.0,108,46,423
13141.0,84,135,2388
13142.0,19,23,307
13144.0,332,3,110
13145.0,39,6,618
13146.0,26,17,228
13147.0,10,4,712
13148.0,29,319,3707
13149.0,14,86,1676
13151.0,295,74,1257
13153.0,5,15,486
13155.0,33,85,971
13157.0,49,87,1741
13158.0,94,79,1201
13159.0,8,121,1437
13160.0,22,4,91
13161.0,313,8,112
13162.0,122,79,1688
13165.0,46,42,1021
13166.0,283,41,417
13167.0,18,65,791
13168.0,36,131,1319
13169.0,63,13,712
13170.0,26,32,116
13171.0,21,46,468
13173.0,4,43,353
13174.0,16,314,2817
13176.0,46,72,492
13177.0,64,17,282
13178.0,26,265,5725
13182.0,45,11,121
13183.0,7,94,3957
13184.0,14,181,1701
13185.0,267,1,71
13186.0,39,79,1575
13187.0,337,37,236
13188.0,11,2,114
13189.0,18,29,260
13192.0,95,63,911
13193.0,61,29,117
13194.0,135,3,60
13196.0,11,110,1797
13198.0,10,226,3401
13199.0,3,119,9817
13200.0,19,46,870
13203.0,9,57,869
13207.0,15,8,250
13208.0,58,149,1223
13209.0,30,321,5891
13210.0,93,22,353
13211.0,10,56,1197
13212.0,19,142,788
13213.0,56,90,1520
13216.0,267,5,333
13217.0,122,4,533
13218.0,127,5,62
13220.0,78,21,819
13221.0,240,66,847
13223.0,200,5,163
13224.0,60,108,2155
13225.0,3,32,6463
13226.0,273,16,108
13227.0,201,9,257
13228.0,81,2,358
13229.0,225,10,160
13230.0,4,611,2806
13232.0,12,207,1357
13233.0,74,43,605
13235.0,212,58,1031
13236.0,24,36,744
13238.0,17,31,700
13239.0,261,22,329
13240.0,96,67,663
13242.0,112,13,270
13243.0,203,58,600
13244.0,92,27,121
13245.0,50,16,430
13246.0,18,141,1987
13247.0,17,25,501
13248.0,124,26,465
13249.0,92,23,711
13253.0,156,36,1030
13255.0,9,13,399
13256.0,14,1,0
13258.0,11,38,698
13259.0,61,87,292
13260.0,61,8,557
13261.0,268,9,944
13262.0,263,11,200
13263.0,1,1677,7454
13265.0,53,91,2107
13266.0,11,187,3834
13267.0,2,211,4521
13268.0,17,440,3214
13269.0,1,316,5346
13270.0,366,1,590
13271.0,37,96,217
13272.0,31,15,276
13273.0,113,16,138
13276.0,63,30,590
13277.0,15,8,258
13278.0,40,46,542
13279.0,78,9,137
13280.0,122,85,814
13282.0,18,37,1132
13283.0,59,7,93
13284.0,330,13,201
13285.0,23,187,2709
13291.0,155,42,361
13292.0,38,31,578
13294.0,189,54,873
13295.0,359,10,201
13296.0,137,5,87
13297.0,7,59,2089
13298.0,1,2,360
13299.0,268,5,142
13300.0,169,20,371
13301.0,103,81,618
13302.0,155,1,63
13304.0,351,21,300
13305.0,4,81,2000
13307.0,120,1,15
13308.0,22,54,1385
13309.0,7,107,1456
13310.0,28,72,1132
13311.0,4,26,598
13313.0,22,78,1555
13314.0,1,62,775
13316.0,37,87,5977
13317.0,66,124,2273
13318.0,1,20,640
13319.0,5,476,10845
13320.0,78,106,1548
13321.0,72,11,567
13322.0,17,25,199
13323.0,3,21,787
13324.0,36,75,7121
13325.0,81,12,675
13327.0,38,108,3627
13328.0,316,17,1308
13329.0,31,17,789
13330.0,92,53,1140
13332.0,14,21,350
13334.0,82,268,3536
13336.0,77,51,795
13338.0,157,19,487
13339.0,200,54,860
13340.0,45,134,10736
13341.0,260,42,775
13343.0,177,19,353
13344.0,67,119,2543
13345.0,287,20,389
13347.0,70,8,341
13348.0,64,14,233
13349.0,10,16,247
13350.0,16,40,979
13351.0,66,16,373
13352.0,60,24,397
13354.0,71,51,743
13355.0,122,32,674
13356.0,80,42,768
13357.0,257,90,609
13358.0,268,29,439
13359.0,63,23,439
13362.0,9,166,3090
13363.0,17,60,992
13364.0,71,10,134
13365.0,33,128,2225
13366.0,50,1,56
13368.0,256,29,623
13369.0,365,14,308
13370.0,371,39,754
13372.0,89,23,378
13373.0,60,158,3312
13375.0,88,37,778
13376.0,99,53,1019
13379.0,26,97,572
13381.0,31,172,3639
13382.0,280,15,222
13384.0,30,152,4151
13385.0,329,35,534
13388.0,131,35,677
13389.0,11,51,797
13390.0,74,13,544
13391.0,203,1,59
13394.0,1,155,2520
13395.0,185,21,307
13396.0,29,43,1360
13397.0,72,38,1544
13398.0,192,26,457
13402.0,127,39,621
13403.0,17,3,75
13404.0,1,11,252
13405.0,74,27,572
13408.0,1,478,28117
13410.0,24,28,1003
13411.0,107,18,213
13414.0,133,24,1390
13416.0,43,19,712
13417.0,4,28,640
13418.0,11,304,6127
13419.0,63,16,221
13420.0,149,8,159
13421.0,40,104,1851
13422.0,64,127,2626
13425.0,108,78,1624
13426.0,0,157,3641
13427.0,19,29,582
13428.0,10,74,218
13429.0,10,67,1006
13430.0,18,49,679
13431.0,67,46,1269
13434.0,74,10,534
13435.0,5,101,3809
13436.0,1,12,196
13437.0,14,167,3408
13439.0,255,54,283
13441.0,91,13,296
13447.0,23,59,1129
13448.0,16,195,3539
13449.0,23,19,291
13450.0,26,71,2043
13451.0,26,443,2976
13452.0,259,2,590
13453.0,165,17,356
13455.0,24,46,1058
13456.0,17,63,1766
13458.0,7,382,9646
13460.0,29,17,183
13461.0,38,27,1445
13462.0,252,9,151
13464.0,58,41,674
13466.0,184,17,307
13467.0,10,99,1083
13468.0,1,302,5704
13470.0,99,10,165
13471.0,1,260,2531
13473.0,60,21,422
13474.0,236,64,229
13475.0,191,86,1431
13476.0,178,58,1238
13477.0,37,79,1454
13479.0,200,15,300
13481.0,45,109,1804
13482.0,232,11,184
13483.0,65,10,140
13484.0,241,8,313
13485.0,233,23,454
13486.0,78,69,1122
13487.0,57,34,575
13488.0,17,422,8968
13489.0,105,14,449
13491.0,51,86,1215
13494.0,311,18,316
13495.0,7,48,2044
13496.0,10,35,653
13497.0,282,19,348
13499.0,17,42,1159
13500.0,23,65,1166
13502.0,16,18,291
13503.0,71,17,216
13504.0,64,22,295
13506.0,316,26,458
13507.0,3,162,2479
13508.0,243,12,110
13509.0,8,44,979
13510.0,1,115,1791
13512.0,260,15,251
13513.0,126,10,205
13514.0,73,4,152
13515.0,72,59,891
13516.0,21,44,1389
13517.0,59,141,2128
13518.0,85,38,659
13519.0,78,8,122
13521.0,1,436,1093
13522.0,30,5,125
13523.0,33,172,3964
13524.0,40,27,680
13525.0,14,6,628
13527.0,33,223,2287
13529.0,78,15,307
13531.0,205,22,483
13532.0,33,66,210
13533.0,182,76,270
13534.0,2,296,5870
13536.0,1,179,3448
13538.0,43,25,1280
13539.0,85,37,631
13544.0,39,87,291
13546.0,12,98,626
13548.0,96,124,682
13549.0,25,51,918
13551.0,319,4,91
13552.0,66,109,3740
13555.0,73,136,4149
13557.0,28,34,584
13558.0,5,175,605
13560.0,7,33,174
13561.0,215,14,141
13562.0,81,82,1799
13563.0,84,49,777
13564.0,144,83,1749
13565.0,19,38,240
13566.0,40,176,874
13568.0,173,44,192
13569.0,17,85,373
13570.0,243,27,239
13571.0,12,341,2092
13572.0,205,33,1384
13573.0,50,26,294
13575.0,23,46,732
13576.0,10,126,6717
13577.0,25,83,1687
13579.0,14,23,467
13581.0,309,10,118
13583.0,155,53,781
13584.0,306,24,142
13587.0,63,8,712
13588.0,15,174,2478
13589.0,14,21,379
13590.0,11,87,1981
13591.0,64,58,1117
13592.0,35,16,247
13593.0,108,128,2037
13594.0,52,26,396
13596.0,5,166,697
13598.0,47,40,180
13599.0,1,247,5153
13600.0,312,19,219
13601.0,45,99,693
13602.0,64,23,428
13603.0,26,27,164
13606.0,29,43,280
13607.0,40,98,678
13610.0,12,226,1131
13611.0,89,74,1171
13614.0,24,201,1610
13615.0,318,23,417
13617.0,40,44,544
13618.0,173,13,177
13621.0,116,19,213
13623.0,30,81,747
13626.0,252,19,257
13627.0,59,92,1638
13629.0,23,59,7792
13630.0,5,71,2031
13631.0,99,11,3070
13632.0,24,146,2121
13634.0,33,188,1575
13635.0,67,62,1071
13636.0,36,63,949
13637.0,52,101,810
13638.0,15,8,122
13639.0,74,40,1033
13642.0,215,66,354
13643.0,31,28,519
13644.0,16,146,2624
13645.0,120,5,252
13647.0,9,79,1678
13649.0,256,23,346
13650.0,16,96,1836
13651.0,35,6,94
13652.0,45,63,1095
13654.0,43,166,2707
13655.0,114,56,932
13656.0,164,49,379
13657.0,10,16,382
13658.0,9,108,2639
13659.0,205,104,1573
13662.0,85,53,897
13663.0,179,13,189
13666.0,60,12,84
13667.0,149,87,305
13668.0,2,470,6363
13669.0,50,9,218
13670.0,75,25,349
13672.0,301,6,186
13673.0,18,65,396
13675.0,151,25,486
13678.0,151,16,232
13680.0,1,195,3722
13681.0,17,57,827
13682.0,187,3,59
13684.0,285,30,67
13685.0,2,39,3119
13686.0,182,8,72
13689.0,63,6,910
13690.0,59,9,172
13692.0,24,53,1488
13694.0,3,568,65039
13695.0,31,90,2504
13697.0,38,12,151
13699.0,155,14,308
13700.0,26,197,2265
13703.0,318,1,99
13704.0,5,134,2308
13705.0,7,28,711
13706.0,302,20,330
13707.0,267,48,806
13708.0,271,51,296
13709.0,3,336,6328
13710.0,31,8,180
13711.0,218,13,252
13712.0,246,10,228
13715.0,281,105,1079
13716.0,269,21,138
13717.0,32,102,1445
13718.0,246,12,306
13719.0,15,60,1041
13720.0,116,43,799
13721.0,36,28,524
13722.0,131,85,2375
13723.0,217,6,199
13725.0,49,104,1980
13726.0,38,42,1079
13727.0,28,20,333
13728.0,36,63,1016
13730.0,135,43,752
13731.0,219,38,610
13732.0,28,33,491
13735.0,24,196,2885
13736.0,5,191,731
13737.0,200,30,339
13739.0,18,3,216
13740.0,240,23,350
13741.0,71,34,668
13742.0,16,321,3131
13743.0,2,41,1341
13744.0,95,72,1156
13745.0,162,25,300
13747.0,373,1,79
13748.0,95,28,948
13750.0,53,24,1647
13751.0,288,9,296
13752.0,124,76,1186
13753.0,287,35,741
13754.0,151,12,282
13755.0,3,342,2161
13756.0,2,142,5189
13758.0,11,117,3190
13759.0,33,25,659
13760.0,54,57,286
13761.0,50,70,1070
13762.0,218,7,306
13763.0,63,15,1714
13764.0,70,208,1521
13767.0,2,368,17220
13769.0,2,135,2796
13771.0,64,119,2634
13772.0,33,177,1132
13774.0,81,22,345
13777.0,0,197,25977
13778.0,103,9,178
13780.0,7,57,360
13781.0,250,17,127
13782.0,12,115,912
13784.0,9,31,2462
13786.0,367,7,230
13787.0,75,31,309
13790.0,4,45,348
13791.0,127,11,1516
13792.0,66,13,195
13798.0,1,349,37153
13799.0,116,39,688
13800.0,309,33,558
13801.0,66,23,324
13802.0,138,60,4599
13803.0,255,17,277
13804.0,30,137,2635
13805.0,52,13,924
13806.0,63,10,256
13807.0,367,7,112
13808.0,5,76,1747
13819.0,301,36,1140
13821.0,144,59,385
13822.0,5,96,632
13823.0,18,40,957
13824.0,32,46,1698
13826.0,176,10,189
13827.0,57,93,412
13828.0,22,15,209
13831.0,16,74,2202
13832.0,19,3,52
13833.0,159,29,384
13835.0,25,55,834
13837.0,211,19,271
13838.0,5,174,691
13841.0,252,1,85
13842.0,58,206,3385
13844.0,11,20,361
13845.0,64,9,312
13846.0,24,55,865
13848.0,92,5,1255
13849.0,51,101,1537
13850.0,129,93,1595
13851.0,95,81,2651
13853.0,57,23,1090
13854.0,8,110,8109
13856.0,168,14,388
13858.0,57,11,216
13859.0,326,28,201
13860.0,1,76,1245
13862.0,18,139,2209
13863.0,247,20,305
13865.0,58,30,501
13866.0,74,7,145
13867.0,31,61,1015
13868.0,7,33,3192
13869.0,123,307,3104
13870.0,2,115,2770
13871.0,22,336,6403
13873.0,119,23,389
13874.0,358,18,540
13875.0,53,104,1786
13876.0,63,7,122
13877.0,86,3,117
13878.0,54,36,1281
13880.0,21,165,3219
13881.0,3,178,17159
13882.0,2,65,1191
13883.0,10,142,2674
13884.0,7,59,787
13885.0,189,28,506
13886.0,71,16,243
13887.0,204,19,349
13888.0,119,40,605
13889.0,92,15,416
13890.0,1,110,1883
13892.0,26,27,632
13893.0,297,21,821
13894.0,23,27,564
13895.0,28,118,2593
13897.0,50,17,311
13898.0,325,12,155
13899.0,16,19,388
13900.0,183,43,740
13901.0,72,149,2867
13904.0,37,26,332
13908.0,79,122,2369
13911.0,57,148,2580
13914.0,11,33,626
13917.0,49,18,272
13918.0,49,30,1212
13922.0,351,7,172
13923.0,53,20,351
13924.0,1,117,1838
13925.0,92,41,678
13926.0,23,11,223
13927.0,74,21,348
13928.0,10,27,464
13929.0,169,9,842
13930.0,57,17,337
13931.0,95,58,1237
13932.0,294,16,307
13933.0,109,23,608
13934.0,263,31,922
13936.0,179,26,376
13937.0,169,9,158
13938.0,35,7,71
13939.0,23,45,568
13940.0,17,49,839
13941.0,21,45,5112
13946.0,79,11,561
13947.0,65,5,90
13948.0,360,3,101
13949.0,2,160,2427
13950.0,11,35,745
13951.0,176,39,674
13952.0,217,137,3251
13953.0,7,20,3515
13954.0,1,25,439
13955.0,154,33,322
13956.0,5,152,1026
13959.0,79,92,598
13960.0,21,12,230
13962.0,21,11,169
13963.0,308,35,664
13967.0,145,2,80
13969.0,7,626,9053
13971.0,18,149,2758
13972.0,70,15,190
13973.0,287,11,264
13974.0,49,28,413
13975.0,31,338,2526
13976.0,206,10,357
13978.0,14,15,196
13979.0,73,54,869
13980.0,60,11,200
13982.0,39,111,1871
13983.0,29,107,2603
13984.0,26,16,920
13985.0,4,351,7060
13986.0,17,13,320
13988.0,19,234,4147
13989.0,65,41,1266
13990.0,213,16,311
13991.0,12,84,855
13992.0,30,5,76
13993.0,42,121,3466
13994.0,3,155,2313
13995.0,15,86,1393
13999.0,10,208,3901
14000.0,211,15,635
14001.0,45,39,2043
14002.0,134,47,529
14004.0,43,171,4582
14005.0,9,84,2874
14006.0,115,30,962
14009.0,198,42,695
14012.0,277,11,328
14013.0,110,34,473
14014.0,77,39,505
14015.0,52,20,917
14019.0,46,66,1421
14020.0,16,39,642
14021.0,155,22,631
14022.0,225,28,440
14023.0,7,31,584
14024.0,121,16,327
14027.0,60,6,104
14029.0,63,15,467
14030.0,18,243,2360
14031.0,7,250,17286
14032.0,2,143,2975
14034.0,22,89,651
14035.0,28,66,1428
14036.0,284,38,626
14037.0,176,28,147
14038.0,78,92,1560
14039.0,33,6,152
14040.0,40,235,3614
14041.0,266,21,141
14044.0,26,209,652
14045.0,109,6,1659
14046.0,284,14,154
14047.0,8,32,1308
14048.0,305,85,409
14049.0,16,488,5681
14050.0,31,54,746
14051.0,0,210,15610
14052.0,19,56,225
14053.0,124,4,260
14054.0,65,6,92
14055.0,106,10,725
14056.0,1,1106,8214
14057.0,23,284,6217
14059.0,266,8,183
14060.0,4,202,6140
14062.0,9,111,10464
14064.0,29,80,1353
14066.0,266,7,152
14067.0,63,52,374
14068.0,320,24,265
14071.0,3,324,1438
14073.0,32,13,151
14075.0,4,43,942
14076.0,129,46,122
14077.0,40,42,499
14078.0,101,65,1049
14079.0,124,12,375
14080.0,32,4,45
14081.0,302,153,934
14082.0,364,29,182
14083.0,4,181,1018
14085.0,2,450,4448
14087.0,2,69,194
14088.0,10,589,50491
14089.0,56,14,161
14090.0,324,1,76
14092.0,7,214,4076
14093.0,12,105,442
14096.0,4,5111,65164
14098.0,36,21,147
14099.0,16,250,3104
14100.0,137,26,194
14101.0,73,35,5976
14102.0,5,79,1360
14104.0,154,21,216
14105.0,239,74,1266
14107.0,51,123,2703
14108.0,30,34,597
14109.0,72,9,144
14110.0,3,156,5683
14111.0,14,10,692
14112.0,22,160,2915
14113.0,3,34,1840
14114.0,273,15,386
14116.0,19,72,1382
14117.0,143,3,90
14121.0,3,159,2780
14124.0,84,5,419
14125.0,10,167,2740
14126.0,7,15,706
14127.0,122,44,709
14128.0,60,46,637
14129.0,1,52,1123
14130.0,319,67,483
14132.0,2,200,3586
14133.0,129,28,605
14135.0,1,134,4690
14138.0,1,47,982
14139.0,46,26,415
14140.0,3,66,935
14141.0,2,40,915
14142.0,373,22,311
14143.0,133,7,115
14145.0,46,11,3742
14146.0,8,210,4191
14147.0,78,5,483
14148.0,233,3,157
14149.0,220,28,446
14150.0,35,26,658
14152.0,75,49,621
14154.0,239,52,1345
14155.0,266,6,118
14157.0,19,48,432
14158.0,40,41,507
14159.0,19,1204,4693
14161.0,215,108,1110
14162.0,173,25,289
14163.0,87,52,2445
14164.0,70,29,1631
14165.0,275,25,122
14167.0,39,52,574
14171.0,98,58,363
14173.0,10,29,450
14174.0,33,26,134
14175.0,59,149,3222
14176.0,297,31,576
14177.0,86,42,559
14178.0,8,327,1620
14179.0,40,165,719
14180.0,10,240,4748
14184.0,66,24,452
14185.0,331,3,197
14188.0,30,65,2054
14189.0,2,265,4654
14191.0,1,259,4684
14193.0,67,42,853
14194.0,4,579,11349
14195.0,201,7,1011
14196.0,106,6,335
14198.0,18,39,701
14199.0,218,2,185
14201.0,60,37,747
14204.0,2,44,161
14205.0,16,24,466
